"","DW_20180105_013","DW_20180105_037","DW_20180105_061","DW_20180105_097","DW_20180105_121","DW_20180105_019","DW_20180105_043","DW_20180105_067","DW_20180105_103","DW_20180105_127"
"Label","N2","N2","N2","N2","N2","swip10","swip10","swip10","swip10","swip10"
"263.087304421069/258.434706442708","4040763.667","818390.3333","6225746.667","1134736.667","708680.3333","3401876.667","5831873.333","5194145.667","3044978","5902032.333"
"263.08731122581/117.321408861101","2497334.667","1689339.333","6226574.667","1360003.667","1128795.667","3586116","6096365.333","4016159.667","4845754.667","4675759"
"263.142374233831/37.5537843819242","5265658.333","2867454.667","5378199","2537593","2998243.333","5245177.667","827757","3334793.667","1797303.667","2034262.333"
"263.236899238775/240.473976861835","489352","450603.3333","122718.8333","588611.3333","572469","261498","122718.8333","1348459.333","707648.3333","595883"
"263.515534444803/152.174742599883","584224","122718.8333","5409365","937817.6667","668739","4144584.5","3400344.5","2222988.667","3179374.5","2484138.5"
"263.684364776489/35.4362802241642","99177.5","769408","3018383","2778321","704991.6667","878686","122718.8333","720932","296006.6667","119602"
"263.930192159089/137.270036299916","1508481.333","3691309","2266431.333","2239167.667","1776320.667","2286707.667","4969567.5","1441398.667","1504917","122718.8333"
"263.955781169506/22.7402525735676","122718.8333","122718.8333","122718.8333","122718.8333","122718.8333","122718.8333","122718.8333","89188.33333","122718.8333","122718.8333"
"264.003522529841/140.077088799826","2311777.5","122718.8333","1637647.5","2568713.667","1856323","1574833.667","122718.8333","1481572","2225727","2870480"
"264.47904596615/117.124146325015","122718.8333","122718.8333","3460949.667","122718.8333","122718.8333","122718.8333","25640213.5","1450939.5","2281620.5","2191117"
"264.485380899098/285.137487129073","910392","559226.5","764337.5","644844.3333","122718.8333","1094366","751919.5","1211318.5","122718.8333","608488"
"264.928316094535/139.461815009758","1372204.333","3155273","2462606.667","2029116.667","1810175.667","1953860","2334098.667","2135775","2127429.333","122718.8333"
"264.950477366297/41.7811171308184","2865386.333","2470884","4413743","2839736.333","3935942.667","2105919.667","2617018","3473287","3268702.333","1707010.333"
