"","DW_20180105_013","DW_20180105_037","DW_20180105_061","DW_20180105_097","DW_20180105_121","DW_20180105_019","DW_20180105_043","DW_20180105_067","DW_20180105_103","DW_20180105_127"
"Label","N2","N2","N2","N2","N2","swip10","swip10","swip10","swip10","swip10"
"258.110161304499/123.810130411723"," 0.6639460"," 0.7134307"," 1.1573926"," 0.9285390"," 1.1813236","-1.1147077","-0.9977935","-0.7117416","-1.0703116","-0.7500776"
"258.990136432305/62.0393023961734"," 0.68185083"," 0.75507460"," 0.04165745"," 0.72987233"," 0.83393098"," 0.34319503","-2.45497583"," 0.07715333","-0.30814827","-0.69961046"
"259.113456628885/121.603204825642"," 0.7324046"," 0.8876957"," 1.0972462"," 0.9029995"," 1.0298714","-0.6749624","-1.2550703","-0.7101588","-1.1471116","-0.8629143"
"259.947645151028/121.732883771099","-0.87585527","-0.90481390"," 0.88105400","-0.90481390","-0.83483745","-0.90481390"," 1.16531761"," 0.05501914"," 0.81350517"," 1.51023851"
"259.991792190467/55.2844989077705"," 0.65249199"," 0.43050080"," 0.05448458"," 1.09550036"," 1.43456946","-1.23349323"," 0.64183273","-1.12291245","-0.86158987","-1.09138437"
"260.001305303225/194.159653446544","-1.1146361","-1.1521400"," 0.8406708","-1.1521400"," 0.3384994","-1.1521400"," 0.7747739"," 1.0350072"," 0.9154606"," 0.6666443"
"260.160639343849/49.50189681312"," 1.3509601","-0.6006196"," 1.1729276"," 0.9878965"," 0.9069498","-0.3770016","-1.1937068","-0.4611136","-1.2570102","-0.5292823"
"260.196820105933/79.9459954728197","-0.06122377","-0.80156358"," 2.52970007"," 0.77277697","-0.14253710","-0.60974211","-0.53175527"," 0.01062559","-0.55076388","-0.61551692"
"260.476994635074/116.024841818943","-0.84853521","-0.89528362"," 1.34499743","-0.89528362","-0.78231945","-0.89528362"," 1.49941337"," 0.51732015","-0.01368431"," 0.96865890"
"260.647962417928/112.779779594191","-0.29855607","-0.35335542","-0.42903210","-0.30465667","-0.31303648","-0.56866795"," 2.82269075","-0.27415958","-0.08839172","-0.19283476"
"261.036872058047/107.169058039431"," 0.7599749"," 0.9958848"," 0.5844713"," 1.0480171"," 1.1428954","-0.3625976","-1.2244249","-1.3123084","-0.8222473","-0.8096653"
"261.036889490353/245.939698652378","-1.2417599","-0.9820589"," 1.5904619","-0.7527623","-0.9097306","-0.5794640"," 0.7488415"," 0.5661301"," 0.5199942"," 1.0403480"
"261.597145279209/135.410723501296","-0.7365204"," 1.2389703","-0.7801362"," 1.1146341"," 1.0201209"," 1.2634762","-0.7801362","-0.7801362","-0.7801362","-0.7801362"
"261.623409918059/117.021154893443","-1.0858129","-1.1285825"," 1.0376846","-1.1285825","-1.0252329"," 1.5131605"," 0.5621903"," 0.3199792"," 0.4803812"," 0.4548148"
"261.910007900726/136.762819910581"," 0.63215255"," 1.20068004"," 0.02234526"," 1.11040845"," 1.09908440"," 0.11756646","-1.33247867","-0.59467434","-1.00185055","-1.25323360"
"262.289364176495/116.851928047936","-1.00019784"," 1.11601357"," 0.13427343","-1.03855399","-0.94586912"," 1.79127059","-1.03855399"," 0.62155595"," 0.06951548"," 0.29054592"
"262.88680112263/134.269503384887"," 0.80557483"," 1.07268819","-0.08352862"," 0.51124710"," 1.05144198"," 0.45064359","-1.36006957"," 0.27214162","-1.36006957","-1.36006957"
"262.974100411447/144.104543414929","-0.7370542","-0.7803627","-0.7803627"," 1.1109560"," 1.0681000","-0.7803627"," 1.1540007","-0.7803627","-0.7803627"," 1.3058111"
"263.013969176859/174.560934688904","-0.4019778","-0.7732204"," 1.9569334","-0.5224403","-0.5017595","-1.5600557"," 0.2843298"," 0.7728401"," 0.8709604","-0.1256100"
"263.087289424575/168.919380084299"," 0.71132957","-0.59841536"," 1.37308243","-1.64439849","-1.29985936"," 0.26419509"," 0.07107913"," 0.53779394"," 1.10548463","-0.52029157"
"263.087304421069/258.434706442708"," 0.8906948","-1.4968711"," 0.7804259","-1.1695499","-1.2878437"," 0.6008822"," 0.5518820"," 0.8639790","-0.5312578"," 0.7976586"
"263.08731122581/117.321408861101","-0.0623632","-1.0125939"," 1.0607321","-1.5906585","-1.4452715"," 0.9267322"," 0.8519526"," 0.2880283"," 0.6859021"," 0.2975397"
"263.142374233831/37.5537843819242"," 1.0785022"," 0.4000492"," 0.4800311"," 0.2692967"," 0.5368980"," 1.1726821","-1.7614749"," 0.0822740","-1.2887724","-0.9694859"
"263.515534444803/152.174742599883","-0.17302300","-2.57705791"," 0.88337195","-0.06046746","-0.03413125"," 1.12321023"," 0.31707877"," 0.02028683"," 0.41732465"," 0.08340719"
"264.47904596615/117.124146325015","-0.8192942","-0.8590508"," 0.8616710","-0.8590508","-0.7629819","-0.8590508"," 2.0212291"," 0.0981852"," 0.6113057"," 0.5670375"
"264.977364002522/113.219966843196","-0.7257519","-0.7782423"," 0.6450877","-0.7782423","-0.6514031","-0.7782423"," 1.5226481","-0.7782423"," 1.4734238"," 0.8489645"
"265.01549635629/110.966155055448","-1.0953994","-0.7357625"," 1.1530173","-0.9309817","-1.0037156","-0.7640775"," 1.0227347"," 0.2473757"," 0.7843178"," 1.3224913"
"265.111834906669/59.3892793762842"," 0.4469193"," 0.4246370"," 0.3288243"," 0.4613478"," 0.4513978"," 0.4703626","-2.3770369"," 0.7904473"," 0.2438317","-1.2407309"
"265.154658481293/36.6139438817883"," 1.1314034","-0.5036646"," 0.6323498"," 0.5150821"," 0.1760208"," 0.9719796","-2.2505895"," 0.4119961","-0.5761740","-0.5084037"
"265.164694217985/29.8536856817614","-0.7924204","-0.8305402","-0.3002657"," 1.3488209"," 1.1959708"," 1.4471335","-0.8305402","-0.8305402","-0.8305402"," 0.4229217"
"265.179819097161/21.1579045526623"," 1.0625216","-1.3013330","-0.8075300","-0.1041424"," 0.9546369","-0.2404988","-1.3013330"," 1.2850055"," 0.9673816","-0.5147084"
"265.298188376823/116.607926367969","-0.6935680","-0.7364988"," 0.4559539","-0.7364988","-0.6327595","-0.7364988","-0.7364988"," 1.0327624"," 2.0243110"," 0.7592956"
