"","DW_20180105_014","DW_20180105_038","DW_20180105_062","DW_20180105_098","DW_20180105_122","DW_20180105_020","DW_20180105_044","DW_20180105_068","DW_20180105_104","DW_20180105_128"
"Label","n2","n2","n2","n2","n2","swip10","swip10","swip10","swip10","swip10"
"131.082594633687/61.1795003763641","528945.3333","798002.3333","683267.3333","607433","568193.6667","525894.3333","466367","856858.3333","833196","531242.3333"
"131.090683949075/21.9084230685665","1028770","1703468.333","3367650","2501738.667","2638312.333","217002.3333","159020.6667","197965","1581447.667","162811.6667"
"131.362128351656/217.709836046051","264558.3333","177121","385472.3333","299066.3333","447037.3333","368021.6667","222286.5","302974.3333","629881.6667","291501.3333"
"132.030249436499/25.7284123504989","8464489","5666454.667","12014372.67","9455270.333","8726989","2596450.667","7909534.333","8139056.333","7795122","8013121"
"132.074764400809/35.7035477219503","178911.6667","679472.3333","146364","1169026","101909.6667","1128430.333","57135.5","236457.3333","257528.5","105415.5"
"132.537181163069/21.4867133895081","2924.15625","1462.078125","1462.078125","1287737.5","731.0390625","46786.5","5570360.667","1948823.667","5848.3125","5848.3125"
"132.955646432217/25.758685129319","2924.15625","1462.078125","1462.078125","1462.078125","731.0390625","2293979.5","23393.25","1202954","5848.3125","5848.3125"
"133.014249113392/30.3888142716194","109323746.7","100016732.7","231780376.7","116736965","155417050","31580052.33","69683637.33","65795162.33","67398265.67","72154880.33"
"133.032679440396/257.23848671983","814396","1114352.333","933271.6667","1879563","1115406","857854.6667","1750324.5","798478","483319","1338832.333"
"133.050664221202/153.380887574398","2924.15625","289264","289319.5","217918","731.0390625","315003.6667","23393.25","267225.6667","5848.3125","549790.6667"
"133.050686665574/19.888924578494","2924.15625","184057.3333","1462.078125","1462.078125","731.0390625","908408.6667","23393.25","776563","5848.3125","2132228.667"
"133.357506806261/22.6698605027599","2924.15625","1462.078125","1462.078125","243136","731.0390625","46786.5","6131178.667","2235481.667","5848.3125","5848.3125"
"134.017625790104/21.0686663615968","6006524.667","3360318.667","9006281.667","5252500","7060523","3781264","5045544","2896331.667","4156997","4969827"
"134.047285483524/222.469437838992","494777.3333","490884.6667","487812.6667","467698.6667","537775.6667","1804163","517745.3333","526665","613738.3333","663524"
"134.047308152379/22.9990468436617","3389552.333","5016445.667","4744008","3528406.333","3440087.333","647851.3333","2992598","1548443.333","3663385.667","3001656"
"134.933853693382/23.9550805492065","1508325","257907","1462.078125","1957404","1390649.333","2928636.333","23393.25","11696.625","5848.3125","5848.3125"
"134.953068657914/23.232113404604","766752.3333","302069.5","1462.078125","719203.6667","657608.3333","1709945.5","23393.25","3235580","5848.3125","5848.3125"
"135.002230600348/141.438531025815","472882","896231.3333","685004.6667","849046.3333","877924","778092.3333","522706.6667","721969","723763.6667","592593.6667"
"135.030071299715/38.3633771058725","13469564","21885963","12092162","14010152.67","11530685","5960674.667","8566182","5972474.667","6713324","7477099.333"
